mount_code,명산_소재지,명산_높이,ㅁ,난이도,특징_및_선정_이유,교통정보
421100101,"강원도 홍천군 두촌면ㆍ화촌면, 춘천시 북산면ㆍ동면",1050.9,산행시간 ,초급,"강원도에서 진달래가 가장 많이 피는 산으로 알려져 있고, 참나무 중심의 울창한 산림과 부드러운 산줄기 등 우리나라 산의 전형적인 모습을 갖추고 있으며, 홍천강의 발원지 및 소양강의 수원(水源)을 이루고 있는 점 등을 고려하여 선정. 암봉이 솟아있는 정상에서 소양호를 조망할 수 있고, 야생화가 많이 서식하여 자연학습관찰에도 좋은 여건을 갖추고 있음. '98년 강원도에서 자연휴양림으로 지정","홍천에서 역내리, 천현리행 버스를 이용해 가리산자연휴양림에서 내린다.  - 홍천→역내리 60분 간격 운행  - 홍천→천현리 1일 10회 운행    홍천 44번 국도 혹은 중앙고속국도 홍천IC-홍천 인제 방면-철정 검문소-인제 방향-역내리 삼거리-가리산자연휴양림"
427700101,"강원도 정선군 북평면ㆍ정선읍 회동리, 평창군 진부면",1561.9,산행시간 , 중급,"가리왕산 8경이 전해질 만큼 경관이 수려하고, 활엽수 극상림이 분포해 있으며, 전국적인 산나물 자생지로 유명. 특히 백두대간의 중심으로 주목군락지가 있어 산림유전자원보호림과 자연휴양림으로 지정되는 등 경관·생태적으로 가치가 큰 점에서 선정동강(東江)에 흘러드는 오대천과 조양강의 발원지이며 석회암 절리동굴인 얼음동굴이 유명. 산의 이름은 그 모습이 큰 가리(벼나 나무를 쌓은 더미)같다고 하여 유래","장평(장평시외버스터미널 ☎033-332-4209)과 정선(정선터미널 ☎033-563-1094)이 기점이다.  하안미 5리 백일동 버스종점에 가평매점(☎033-332-8622)이 있으니 출발 전에 문의하면 상세히 알 수 있다.  - 장평→하안미리(가평행) 1일 5회 운행 - 정선→회동 1일 8회 운행    영동고속국도 진부IC-6번 국도-나전삼거리-33번 국도-영월, 평창 방면-424번 지방도-용탄, 회동 방향-용탄리-회동리 가리왕산자연휴양림"
478400101,"경상남도 합천군ㆍ거창군, 경상북도 성주군",1432.6,산행시간 , 중급,"예로부터 우리나라의 12대 명산 또는 8경에 속하는 산으로서 '72년 국립공원으로 지정되었으며, 특히 '95년 세계문화유산으로 지정된 국보 팔만대장경과 해인사가 있는 등 역사·문화적 가치가 높은 점을 고려하여 선정,`가야국'이 있었던 곳으로 전해지며, `택리지'에서는 가야산의 기암괴봉을 불꽃에 비유하여 석화성(石火星)이라 하였음. 산위에서의 조망이 좋고, 특히 용문폭포와 홍류동 계곡 등이 유명",대구가 기점이다. 대구 대명11동에 있는 서부시외버스정류장에서 직행버스가 40회 있다. 88고속도로 해인사IC에서 빠져나간다.
317100101,"울산광역시 울주군, 경상북도 청도군, 경상남도 밀양시",1240.9,산행시간 ,초급,"백두대간 남단의 중심으로 영남알프스에서 가장 높은 산으로 '79년 도립공원으로 지정되었음. 수량이 풍부한 폭포와 아름다운 소(沼)가 많고, 천연기념물 224호인 얼음골과 도의국사 사리탑인 8각운당형부도(보물 제369호)가 보존되어 있는 석남사(石南寺)가 소재하는 점 등을 고려하여 선정. 능선 곳곳에 바위봉과 억새밭이 어우러져 있고 전망이 좋으며 자연휴양림이 있음. 밀양강의 지류인 산내천과 무적천의 발원지이다."," 언양이 기점이다. 언양에서 20분 간격의 석남사행 버스(328번, 807번)를 이용한다. 언양으로는 울산에서 15분, 부산에서 20분 간격으로 버스가 다닌다. 호박소쪽은 석남사에서 10회 있는 밀양행 직행버스를 타고가다 운전사에게 부탁하거나 남명리에서 내린다.   경부고속국도 서울산IC→석남사 방면 24번 국도"
414800101,"경기도 파주시 적성면, 양주시 남면, 연천군 전곡읍",674.9,산행시간 ,초급,"예로부터 경기 5악의 하나로서 폭포·계곡·암벽 등을 고루 갖추고 있으며, 임진강·개성 송악산 등의 조망이 좋은 점 등을 고려하여 선정. 수량이 풍부한 운계폭포가 있고, 정상에는 글자가 모두 마멸되어 판독이 불가능한 비뜰대왕비(파주군 향토유적 제8호)가 있는데 `설인귀(薛人貴)'설과 `진흥왕 순수비'설이 나뉘어 속전되고 있음. 임꺽정이 관군의 추격을 피하기 위해 숨어 지냈다는 장군봉 아래 임꺽정 굴이 있음.", 기점은 의정부이다.  의정부에서 적성으로 가는 25번 시내버스가 15분 간격으로 운행한다.     37번 국도 적성-적성삼거리 323번 지방도-범륜사 입구
457700101,"전라북도 순창군 팔덕면, 전라남도 담양군 용면",585.8,산행시간 , 중급,"군립공원(1981년 지정)으로 지정되어 있으며, 강천계곡 등 경관이 수려하고 조망이 좋은 점 등을 고려하여 선정신라 진성여왕때(887년) 도선국사가 개창한 강천사(剛泉寺)가 있으며, 산 이름도 강천사(剛泉寺)에서 유래. 삼국시대에 축조된 것으로 추정되는 금성산성(金城山城)이 유명","기점은 순창이다. 강천산 주차장까지 군내버스가 5분 간격으로 다닌다. 9킬로미터 거리니 걸어가도 된다. 순창으로는 서울 강남터미널에서 고속버스가 6회 있다. 전라북도 이외 도시로는 인천, 대구, 광주에서 버스가 있다.     호남고속국도 옥과IC-순창 방면 27번 국도를 탄다. 순창읍내에서는 담양 방면 24번 국도로 갈아탄 뒤 백산리에서 우회전, 793번 지방도로를 따른다. 강천저수지가 끝날 즈음 좌회전한다."
441500301,"대전광역시, 충청남도 공주시 계룡면, 논산시 상월면, 계룡시 신도안면",846.5,산행시간 ,초급,"예로부터 신라 5악의 하나인 서악(西岳)으로 지칭되었고, 조선시대에는 3악 중 중악(中岳)으로 불리운 산으로서 국립공원으로 지정(1968년)된 점 등을 고려하여 선정산 능선이 마치 닭의 벼슬을 쓴 용의 모습과 닮았다고 하여 계룡산이라는 이름이 유래되었으며, 정감록(鄭鑑錄)에 언급된 십승지지(十勝之地)중 하나임. 신라 성덕왕 2년(724년) 회의화상이 창건한 동학사(東鶴寺)와 백제 구이신왕(420년)때 고구려의 아도화상에 의하여 창건된 갑사(甲寺)등이 유명","기점은 공주와 대전이다. 교통입지로 성장한 대전은 설명할 필요가 없을 것이고 공주로는 동서울터미널에서 30분 간격, 남부터미널에서 52회나 다닌다. 이 외에 인천, 대전, 수원, 성남, 청주, 원주와 충남 각지에서 직행버스를 탈 수 있다.  > 대전→갑사, 동학사 : 수시로 운행 ,  공주->갑사, 신원사: 수시로 운행    동학사쪽은 호남고속국도 유성 IC→공주 방면 32번 국도. 갑사쪽은 논산천안고속국도 공주IC→대전 방면 32번 국도거나 이 고속국도와 나란히 달리는 23번 신국도를 타고가다 계룡면 월암리, 상성리에서 지방도로 접어든다. "
427206801,"강원도 홍천군 내면, 평창군 용편면ㆍ진부면",1579.1,산행시간 , 중급,"남한에서 한라산, 지리산, 설악산, 덕유산에 이어 다섯 번째로 높은 산으로서 산약초·야생화 등이 많이 서식하고, 희귀수목인 주목·철쭉나무 등이 군락을 이루고 있어 생태계 보호지역으로 지정된 점 등을 고려하여 선정 백두대간을 한 눈에 조망할 수 있으며 겨울철 설경이 백미. 우리나라에서 자동차로 오를 수 있는 고개 중 가장 높은 운두령이 있으며 내린천(內麟川)으로 흐르는 계방천의 발원지임",기점은 진부다.  동서울종합터미널과 상봉터미널에서 2회씩 있는 강릉행 직행버스를 타고가다 진부에서 내린다.  진부→운두령 : 1일 8회 운행  진부→방아다리 약수: 1일 5회 운행     영동고속국도 속사IC-운두령 방면 31번 국도
427200401,"강원도 홍천군 동면, 화촌면",887.4,산행시간 ,초급,울창한 산림과 수타계곡 등 경관이 수려한 점 등을 고려하여 선정. 산의 형세가 마치 한 마리의 공작이 날개를 펼친 듯하다는데서 산 이름이 유래. 보물 제745호인 월인석보 제17권과 18권이 보존되어 있는 수타사(壽陀寺)와 수타사에서 노천리에 이르는 20리계곡인 수타계곡이 특히 유명,"기점은 홍천이다.  동서울터미널에서 52회, 상봉터미널에서 41회 있다.  군업리를 들머리로 할 때는 1시간 간격으로 있는 어론행 완행버스, 굴운리는 15회 있는 성산행을 타고가다 송정에서 하차, 2km쯤 걸어 들어간다.  수타사와 신봉리로는 완행버스가 3회씩 다니며 공작골 입구는 3회 있는 물골행을 타 노천삼거리에서 내린다.     설악산 갈 때 이용하는 6번과 44번 신국도를 탄다. 굴운리와 군업리(56번 국도)는 안내판만 따르면 되지만 동면쪽은 신국도에 안내판이 없으니 읍내로 들어간 뒤 군청 지나서 444번 지방도를 따라간다. "
116200201,"서울특별시 관악구, 경기도 안양시, 과천시",632.2,산행시간 ,초급,"예로부터 경기 5악의 하나로서 경관이 수려하며, 도심지 가까이 위치한 도시자연공원(1968년 지정)으로 수도권 주민들의 휴식처인 점 등을 고려하여 선정. 주봉은 연주대(戀主臺)로서 정상에 기상 레이더 시설이 있음. 신라시대 의상이 창건하고 조선 태조가 중수(1392년)한 연주암과 약사여래입상이 유명","지하철이 가장 편리하다. 서울대 방면은 2호선 신림역과 봉천역, 과천 방면은 4호선 정부청사역, 안양 방면은 1호선 관악역이나 시흥역을 이용한다.  >2호선 신림역→5613, 6514번 버스    >서울대입구역→750번 버스    신림4거리나 봉천사거리에서 서울대 방향으로 가 매표소 입구 주차장에 주차한다. 과천쪽은 서울외곽순환고속도로 학의분기점에서 내려 309번 지국도를 따르고 안양쪽은 1번국도를 타는게 무난하다."
