번호,산명,위도,경도,해발고도,산코드,시도명,데이터추출일시
1,가리산,37.871353,127.956485,1051,421100101,강원특별자치도,45338.2497
2,가리왕산,37.460995,128.56275,1561,427700101,강원특별자치도,45338.2497
3,가야산,35.822563,128.122518,1430,478400101,경상북도,45338.2497
4,가지산,35.619875,129.003523,1240,317100101,울산광역시,45338.2497
5,감악산,37.941082,126.969989,675,414800101,경기도,45338.2497
6,강천산,35.388214,127.034392,584,457700101,전라북도,45338.2497
7,계룡산,36.361424,127.210292,845,441500301,충청남도,45338.2497
8,계방산,37.728268,128.46543,1577,427206801,강원특별자치도,45338.2497
9,공작산,37.71593923,128.0105456,887,427200401,강원특별자치도,45338.2497
10,관악산,37.445044,126.964223,629,116200201,서울특별시,45338.2497
11,구병산,36.46989438,127.8625301,877,437200401,충청북도,45338.2497
12,금산,34.753803,127.982936,701,488400801,경상남도,45338.2497
13,금수산,36.985009,128.256761,1016,431500701,충청북도,45338.2497
14,금오산,36.092833,128.300054,977,471900101,경상북도,45338.2497
15,금정산,35.280118,129.050542,802,264100101,부산광역시,45338.2497
16,깃대봉,34.699941,125.205139,368,469100501,전라남도,45338.2497
17,남산,35.767661,129.225369,468,471300201,경상북도,45338.2497
18,내연산,36.263301,129.258523,710,400052151,경상북도,45338.2497
19,내장산,35.478299,126.888994,763,451800501,전라북도,45338.2497
20,대둔산,36.126556,127.323071,878,447103401,충청남도,45338.2497
21,대암산,38.21087,128.13481,1304,428101301,강원특별자치도,45338.2497
22,대야산,36.649026,127.96407,931,472800901,경상북도,45338.2497
23,덕숭산,36.671737,126.624461,495,448100401,충청남도,45338.2497
24,덕유산,35.85990274,127.746381,1614,457300702,전라북도,45338.2497
25,덕항산,37.318296,129.001612,1071,421900601,강원특별자치도,45338.2497
26,도락산,36.856368,128.311091,964,438002801,충청북도,45338.2497
27,도봉산,37.69883,127.01547,740,113200102,서울특별시,45338.2497
28,두륜산,34.471848,126.637535,703,468201301,전라남도,45338.2497
29,두타산,37.43445721,128.9734669,1353,422301901,강원특별자치도,45338.2497
30,마니산,37.612745,126.436401,469,287100601,인천광역시,45338.2497
31,마이산,35.760484,127.411233,686,457200901,전라북도,45338.2497
32,명성산,38.090196,127.337617,923,427800701,경기도,45338.2497
33,명지산,37.94024567,127.4325174,1267,418201401,경기도,45338.2497
34,모악산,35.728678,127.084721,794,452100701,전라북도,45338.2497
35,무등산,35.121098,127.00283,1187,291700501,전라남도,45338.2497
36,무학산,35.210231,128.535362,761,481500901,경상남도,45338.2497
37,미륵산,34.810512,128.41628,461,482201101,경상남도,45338.2497
38,민주지산,36.03976612,127.849333,1242,400233642,충청북도,45338.2497
39,방장산,35.455991,126.75431,743,457900601,전라북도,45338.2497
40,방태산,37.888141,128.390341,1444,428102201,강원특별자치도,45338.2497
41,백덕산,37.396072,128.293787,1350,427602301,강원특별자치도,45338.2497
42,백암산,35.461171,126.868349,741,468801201,전라북도,45338.2497
43,백운산(광양),35.106243,127.621757,1218,462300801,전라남도,45338.2497
44,백운산(정선),37.29869,128.579145,883,427708601,강원특별자치도,45338.2497
45,백운산(포천),38.130579,127.492505,904,416501801,경기도,45338.2497
46,변산,35.679818,126.620083,508,458002001,전라북도,45338.2497
47,북한산,37.658657,126.978056,837,113050202,서울특별시,45338.2497
48,비슬산,35.71526,128.523981,1084,277101501,경상북도,45338.2497
49,삼악산,37.920351,127.612711,654,421102701,강원특별자치도,45338.2497
50,서대산,36.220654,127.538562,904,447101401,충청남도,45338.2497
51,선운산,35.517657,126.577097,336,457901001,전라북도,45338.2497
52,설악산,38.119135,128.46544,1708,428302602,강원특별자치도,45338.2497
53,성인봉,37.497383,130.866729,984,479400901,경상북도,45338.2497
54,소백산,36.95786818,128.4788661,1439,438001301,충청북도,45338.2497
55,소요산,37.915914,127.132813,587,412500201,경기도,45338.2497
56,속리산,36.543181,127.870846,1057,437201201,충청북도,45338.2497
